lines,line_num,name
 深惠3海滨支线 M231路 M232路 M274路 M423路 M457路 M471路,途经路线[7条],石禾塘
 M461路,途经路线[1条],石背路口
 B888路,途经路线[1条],石街股份公司
 B671路,途经路线[1条],石碧居民小组
 M345路,途经路线[1条],石岩西部事业部
 58路 M123路 M486路 M561路,途经路线[4条],石洲中路
 M345路 791路 B934路,途经路线[3条],石岩黄峰岭
 B739路 B740路,途经路线[2条],石灰围
 759路 767路,途经路线[2条],石岩裕兴百货
 58路 M123路,途经路线[2条],石洲北路
 高峰专线104 高峰专线107 M206路 M217路 M234路 M243路 M257路 M262路 316路 325路 326路 332路 M335路 M355路 M378路 M379路 392路 M395路 M516路 M560路 759路 767路 789路 791路 866路,途经路线[25条],石岩计生中心
 791路,途经路线[1条],石岩罗租中新村
 高峰专线166 767路 790路 B891路,途经路线[4条],石岩羊台苑
 E18路 高快巴士31 高峰专线107 M193路 M233路 M243路 M257路 M262路 M310路 316路 332路 M341路 M378路 M379路 M395路 M415路 M442路 M548路 789路 866路 882路 B935路,途经路线[22条],石岩街道办
 高峰专线165,途经路线[1条],石岩综合场站
 B934路,途经路线[1条],石岩第二工业区
 高峰专线107 M535路 767路 789路,途经路线[4条],石岩物流园
 M193路 M206路 M217路 M234路 M256路 325路 M335路 392路 M415路 M442路 M548路 M560路 882路,途经路线[13条],石岩湖路口
 769路,途经路线[1条],石岩湖温泉
 M233路,途经路线[1条],石岩湖总站
 高快巴士35 769路,途经路线[2条],石岩湖度假村
 B789路,途经路线[1条],蚝四村
 M397路 779路 B943路,途经路线[3条],蚝四南安科技
 M331路 653路 781路,途经路线[3条],蚝四西部工业区
 639路,途经路线[1条],蚝二学府花园
 E18路 高快巴士31 高峰专线144 高峰专线165 高峰专线170 M193路 M206路 M217路 M233路 M234路 M310路 325路 326路 M335路 M341路 M355路 392路 M415路 M442路 中旅东部快线(K533)公明线 M548路 M560路 769路 790路 882路 B939路,途经路线[26条],石岩汽车站
